	ranges_bin	norm_signal	pre_signal	post_signal	surround_signal	enrichment_factor1	enrichment_factor2
130	[3690496, 3690812)	1.96	0.0	1.0	1.0	1.96	2.595748017565394
131	[3694914, 3695126)	1.263157894736842	0.0	1.5	1.5	0.8421052631578947	1.6728773475179768
132	[3718781, 3719094)	1.5	0.6666666666666666	1.8	2.466666666666667	0.6081081081081081	1.9865418501775975
133	[3731622, 3731769)	1.5833333333333333	0.0	1.25	1.25	1.2666666666666666	2.096905286298575
134	[3750395, 3750553)	1.5	0.0	1.0	1.0	1.5	1.9865418501775975
135	[3756385, 3756574)	2.1	0.6666666666666666	0.3333333333333333	1.0	2.1	2.7811585902486367
136	[3760482, 3760599)	2.125	0.0	0.5	0.5	4.25	2.81426762108493
137	[3761017, 3761498)	1.775	0.6363636363636364	0.5	1.1363636363636362	1.562	2.3507411893768237
138	[3763141, 3763295)	1.7333333333333334	0.0	1.0	1.0	1.7333333333333334	2.295559471316335
139	[3763789, 3763936)	1.5	2.6666666666666665	0.3333333333333333	3.0	0.5	1.9865418501775975
140	[3765447, 3765616)	2.1666666666666665	0.0	0.75	0.75	2.888888888888889	2.8694493391454188
141	[3769706, 3769897)	2.0	0.0	1.3333333333333333	1.3333333333333333	1.5	2.6487224669034632
142	[3774795, 3774906)	2.6666666666666665	0.2857142857142857	0.5	0.7857142857142857	3.393939393939394	3.5316299558712845
143	[3794760, 3794876)	2.625	0.0	1.4	1.4	1.8750000000000002	3.476448237810796
144	[3802739, 3802921)	1.7692307692307692	0.0	1.0	1.0	1.7692307692307692	2.3431006437992177
145	[3803671, 3803945)	2.5	0.0	0.75	0.75	3.3333333333333335	3.3109030836293294
146	[3808171, 3808395)	1.6470588235294117	0.3333333333333333	1.125	1.4583333333333333	1.1294117647058823	2.18130085509697
147	[3821543, 3821719)	1.7692307692307692	0.75	0.25	1.0	1.7692307692307692	2.3431006437992177
148	[3827628, 3827741)	2.111111111111111	0.0	2.0	2.0	1.0555555555555556	2.7958737150647672
149	[3836192, 3836375)	1.7142857142857142	0.5714285714285714	0.6666666666666666	1.2380952380952381	1.3846153846153846	2.2703335430601115
150	[3837136, 3837239)	1.125	0.6666666666666666	1.6	2.2666666666666666	0.4963235294117647	1.4899063876331982
151	[3837328, 3837451)	2.2222222222222223	1.3333333333333333	0.8333333333333334	2.1666666666666665	1.0256410256410258	2.9430249632260708
152	[3838193, 3838273)	3.5	0.0	0.3333333333333333	0.3333333333333333	10.5	4.635264317081061
153	[3839357, 3839461)	1.4444444444444444	1.0	1.6	2.6	0.5555555555555556	1.9129662260969458
154	[3839560, 3839639)	2.5	0.5	1.6666666666666667	2.166666666666667	1.1538461538461537	3.3109030836293294
155	[3839842, 3840033)	1.6428571428571428	0.875	1.25	2.125	0.7731092436974789	2.1757363120992737
156	[3840738, 3840885)	2.0	0.0	3.0	3.0	0.6666666666666666	2.6487224669034632
157	[3846787, 3846892)	2.5	0.0	0.25	0.25	10.0	3.3109030836293294
158	[3847545, 3847823)	2.263157894736842	0.0	3.0	3.0	0.7543859649122807	2.9972385809697086
159	[3847904, 3848011)	1.4	1.2857142857142858	0.0	1.2857142857142858	1.0888888888888888	1.8541057268324244
160	[3855856, 3855926)	3.4	0.0	1.5	1.5	2.2666666666666666	4.502828193735888
161	[3857019, 3857116)	1.0	0.6	3.0	3.6	0.2777777777777778	1.3243612334517316
162	[3858030, 3858112)	1.2	0.4	1.8	2.2	0.5454545454545454	1.589233480142078
163	[3858217, 3858520)	1.5714285714285714	2.0	0.25	2.25	0.6984126984126984	2.0811390811384354
